Tournament name,Age category ID,Age category name,Pitch size
Costa Brava Cup,7,G18 (G18),11-a-side
Costa Brava Cup,8,G16 (G16),11-a-side
Costa Brava Cup,9,G15 (G15),11-a-side
Costa Brava Cup,10,U14 (U14),11-a-side
Costa Brava Cup,11,U15 (U15),11-a-side
Costa Brava Cup,12,U17 (U17),11-a-side
Costa Brava Cup,13,U19 (U19),11-a-side
Costa Brava Cup,14,MO (M-O),11-a-side
Costa Brava Cup,15,U16 (U16),11-a-side
Costa Brava Cup,16,U15F8 (U15/7),8-a-side
Costa Brava Cup,17,U13F8 (U13/8),8-a-side
Costa Brava Cup,18,G15F8 (G15/8),8-a-side
Costa Brava Cup,19,G13F8 (G13/8),8-a-side
Costa Brava Cup,20,WO/7 (W-O/7),8-a-side
Costa Brava Cup,120,Test (U08/5),5-a-side
Test 3,1,U19 (U19),11-a-side
Test 3,2,U15 (U15),11-a-side
Test 3,21,U12 (U12),11-a-side
Test 3,67,U12 (U12/7),11-a-side
Test 3,121,U17 (U17),11-a-side
Test,24,Esr12 (U10),5-a-side
Test,123,test (U08/5),11-a-side
Test,124,TT1 (U09),11-a-side
Test,125,test (U11),11-a-side
Bayer Uerdingen Pokal,35,U19 (U19),11-a-side
Bayer Uerdingen Pokal,36,U17 (U17),11-a-side
Bayer Uerdingen Pokal,37,U15 (U15),11-a-side
Bayer Uerdingen Pokal,38,U13 (U13),11-a-side
Bayer Uerdingen Pokal,40,U11/7 (U11/7),7-a-side
Girls Cup  Maastricht,28,WO (W-O),11-a-side
Girls Cup  Maastricht,31,G17 (G17),11-a-side
Girls Cup  Maastricht,33,G15 (G15),11-a-side
Girls Cup  Maastricht,34,G13/8 (G13/8),8-a-side
Haderslev Cup,27,U11/7 (U11/7),7-a-side
Haderslev Cup,30,U12/8 (U12/8),8-a-side
Haderslev Cup,44,U13 (U13),11-a-side
Haderslev Cup,47,U13/9 (U13/9),9-a-side
Haderslev Cup,49,U14 (U14),11-a-side
Haderslev Cup,52,U15A (U15-A),11-a-side
Haderslev Cup,55,U15 B (U15-B),11-a-side
Haderslev Cup,57,U17 A (U17-A),11-a-side
Haderslev Cup,58,U17 B (U17-B),11-a-side
Haderslev Cup,59,U19 (U19),11-a-side
Haderslev Cup,60,G13/8 (G13/8),8-a-side
Haderslev Cup,61,G15 (G15),11-a-side
Haderslev Cup,62,G17 (G17),11-a-side
Bayern Trophy,39,U09  Markt Schwaben (U09),7-a-side
Bayern Trophy,41,E Junioren (U10/7),7-a-side
Bayern Trophy,43,E Junioren (U11/7),7-a-side
Bayern Trophy,45,D Junioren (U12/9),9-a-side
Bayern Trophy,48,D Junioren (U13),11-a-side
Bayern Trophy,51,C Junioren (U14),11-a-side
Bayern Trophy,53,C Junioren (U15),11-a-side
Bayern Trophy,56,B Junioren (U17),11-a-side
Bayern Trophy,82,A Junioren (U19),11-a-side
Bayern Trophy,100,Heimstetten (U09),7-a-side
Hanze Trophy,25,U11 (U11/7),7-a-side
Hanze Trophy,26,U13 (U13/8),7-a-side
Hanze Trophy,29,U15 (U15),11-a-side
Hanze Trophy,32,U17 (U17),11-a-side
Blackpool Cup,42,U9 (U09/7),7-a-side
Blackpool Cup,46,U10 (U10/7),7-a-side
Blackpool Cup,50,U11 (U11/7),7-a-side
Blackpool Cup,54,U12 (U12/9),9-a-side
Blackpool Cup,63,U13 (U13),11-a-side
Blackpool Cup,64,U14 (U14),11-a-side
Kolding  Handball Cup,107,U11/7 (U11/7),7-a-side
Kolding  Handball Cup,108,U12/8 (U12/8),8-a-side
Kolding  Handball Cup,109,G13/8 (G13/8),8-a-side
Top Oss Cup,68,U19 (U19),11-a-side
Top Oss Cup,69,U17 (U17),11-a-side
Top Oss Cup,70,U16 (U16),11-a-side
Top Oss Cup,71,U15 (U15),11-a-side
Top Oss Cup,72,U14 (U14),11-a-side
Top Oss Cup,73,U13 (U13),11-a-side
Top Oss Cup,83,G17 (G17),11-a-side
Top Oss Cup,84,G15 (G15),11-a-side
Top Oss Cup,86,G13 (G13/8),8-a-side
Top Oss Cup,87,U12 (U12/9),9-a-side
Top Oss Cup,88,U11 (U11/7),7-a-side
Top Oss Cup,89,U10 (U10/7),7-a-side
Top Oss Cup,90,U9 (U09/7),7-a-side
Top Oss Cup,91,U9 (U09/5),5-a-side
Maastricht Trophy,74,U17 (U17),11-a-side
Maastricht Trophy,75,U15 (U15),11-a-side
Maastricht Trophy,76,U14 (U14),11-a-side
Maastricht Trophy,77,U13 (U13),11-a-side
Mönchengladbach Pokal,111,U11/7 (U11/7),7-a-side
Mönchengladbach Pokal,112,U12/8 (U12/8),8-a-side
Mönchengladbach Pokal,113,U13 (U13),11-a-side
Mönchengladbach Pokal,114,U15 (U15),11-a-side
Mönchengladbach Pokal,115,U17 (U17),11-a-side
Mönchengladbach Pokal,116,U14 (U14),11-a-side
Amfora Cup,92,U10 (U10/7),7-a-side
Amfora Cup,93,U11 (U11/7),7-a-side
Amfora Cup,94,U12 (U12/8),8-a-side
Amfora Cup,95,U13 (U13/9),9-a-side
Amfora Cup,96,U9 (U09/7),7-a-side
Amfora Cup,97,U14 (U14),11-a-side
Amfora Cup,98,U15 (U15),11-a-side
Amfora Cup,99,U17 (U17),11-a-side
Danube Challenge Cup,101,U17 (U17),7-a-side
Wolfsberg Cup,103,U8 (U08/5),5-a-side
Wolfsberg Cup,106,U11 (U11/7),7-a-side
